,mean,std,min,max,persistence_ar1
1.0,0.00023131603256207686,4.943554786803105e-06,0.00022036657875798907,0.00024049697205981435,0.9940567372240622
2.0,0.0004200025698895944,8.489882312618687e-06,0.00040189547177894164,0.000436532986831141,0.9945231702370738
3.0,0.0005747686734787615,1.1310386036931322e-05,0.0005517644413813652,0.0005974415697029799,0.9948674103242717
5.0,0.0008057047571330757,1.5983016865405234e-05,0.0007740259998639948,0.000838402539911326,0.9951646000286882
7.0,0.000955883795420516,2.0038441586582364e-05,0.0009138385507731772,0.000996731170869656,0.9951133186822138
10.0,0.0010648549680384407,2.5312655382891004e-05,0.0010098287354398383,0.0011157490517207345,0.9948344511473729
20.0,0.0006814172800113071,3.76376097163083e-05,0.0005979318848126219,0.0007557180269993045,0.9942869448152276
30.0,-0.0005947649382459308,4.588892431165362e-05,-0.0006964302648853338,-0.0005039890738561328,0.9942284766457458
